Serial Number,Shape Type,X,Y,Width,Height,Rotation,Frame Color,Fill Color,Is Filled
400,Rectangle,283.3342380709643,452.7170019585783,10.0,10.0,-12.0,#000000,#FF0000,True
399,Rectangle,294.8863196802659,451.9796350473462,10.0,10.0,0.0,#000000,#FF0000,True
398,Rectangle,306.0697178339515,452.34831850296234,10.0,10.0,6.0,#000000,#FF0000,True
397,Rectangle,329.58467480406404,461.19672143774665,5.0,10.0,115.0,#000000,#FF0000,True
396,Rectangle,317.37601047284244,454.80620820706906,10.0,10.0,18.0,#000000,#FF0000,True
395,Rectangle,338.51386192816034,465.25223944952256,10.0,10.0,-58.0,#000000,#FF0000,True
394,Rectangle,244.93363911938317,501.2598480170917,5.0,10.0,45.0,#000000,#FF0000,True
393,Rectangle,249.36035432862624,505.2649713016449,5.0,10.0,45.0,#000000,#FF0000,True
392,Rectangle,254.20866146255912,509.05929862385346,5.0,10.0,45.0,#000000,#FF0000,True
16,Triangle,257.7165447669888,514.787310910756,10.0,10.0,-46.0,#000000,#FF0000,True
391,Rectangle,281.6648478726783,512.8163244402025,5.0,5.0,0.0,#000000,#FF0000,True
