Serial_Number,Type,X,Y,Width,Height,Rotation,Frame_Color,Fill_Color,Is_Filled
2260,Small,411.5923362698441,724.8918580081155,10.0,10.0,-158.3256741593657,#1d1c21,#d9505b,True
2259,Small,421.9008368315383,728.4106514805102,10.0,10.0,-157.2199209162623,#1d1c21,#d9505b,True
2258,Small,454.18845835206866,655.7259791677697,5.0,5.0,-20.0,#8b4513,#a21818,True
2257,Small,534.3867217729128,717.2710204335768,5.0,10.0,109.0,#1d1c21,#deb1ae,True
2256,Small,574.0527397458583,679.6277693098066,10.0,10.0,-38.04914425325246,#1d1c21,#deb1ae,True
2255,Small,565.5482920722208,686.7796436105169,10.0,10.0,-39.04081103202836,#1d1c21,#d7d5ac,True
2254,Small,556.1622631422653,694.0506256260841,10.0,10.0,-38.608582716095334,#1d1c21,#deb1ae,True
2253,Small,547.3420828003578,702.1091446512015,10.0,10.0,-46.127034076019314,#1d1c21,#d0aeb2,True
2252,Small,540.0084442734394,710.8591342489506,10.0,10.0,-54.06080905426384,#1d1c21,#deb1ae,True
2251,Small,562.7318141814524,674.7377644962453,10.0,10.0,-42.841375186981416,#1d1c21,#deb1ae,True
2250,Small,552.975486270954,681.5602170831492,10.0,10.0,-43.908783774737635,#1d1c21,#deb1ae,True
2249,Small,544.3858854309752,689.4465368237356,10.0,10.0,-43.48895096132094,#1d1c21,#deb1ae,True
2248,Small,536.1725605653312,697.870648755234,10.0,10.0,-52.37494656346517,#1d1c21,#deb1ae,True
2247,Small,528.4050350376777,706.0671605735224,10.0,10.0,-55.627907291420854,#1d1c21,#d68d9a,True
2246,Small,520.4143211087735,746.0173024443911,10.0,10.0,24.0,#1d1c21,#d7d5ac,True
2245,Small,513.3793170787055,744.2395898286161,5.0,10.0,35.0,#1d1c21,#deb1ae,True
2244,Small,514.5169193193235,734.5034694330882,5.0,10.0,-49.0,#1d1c21,#deb1ae,True
103,Triangle,496.04678096689,729.6982950615594,10.0,10.0,-122.0,#1d1c21,#d68d9a,True
2243,Small,492.6285707126729,744.741882732236,10.0,10.0,50.0,#1d1c21,#d68d9a,True
2242,Small,502.44824486429,751.7731954600331,10.0,10.0,30.0,#1d1c21,#deb1ae,True
2241,Small,485.93667642311163,735.1992480824362,10.0,10.0,-28.0,#1d1c21,#d68d9a,True
2240,Small,503.8118014226227,738.9474077548044,10.0,10.0,-48.0,#1d1c21,#deb1ae,True
2239,Small,514.391811592466,755.7635417474196,10.0,10.0,26.0,#1d1c21,#deb1ae,True
2238,Small,520.426646556157,770.3651765905933,10.0,10.0,18.0,#1d1c21,#d68d9a,True
2237,Small,509.9406299205573,766.4783957427803,10.0,10.0,24.08639288996105,#1d1c21,#d68d9a,True
2236,Small,498.9924945246835,762.8078621470194,10.0,10.0,31.286636519386498,#1d1c21,#d68d9a,True
2235,Small,489.09597168201844,756.9186657112099,10.0,10.0,41.43560703383694,#1d1c21,#d68d9a,True
2234,Small,480.8870144692005,748.6005667011833,10.0,10.0,55.29249014207108,#1d1c21,#d68d9a,True
2233,Small,474.16026922098473,739.4852447297209,10.0,10.0,52.554284760910555,#1d1c21,#d68d9a,True
2232,Small,513.3155977276555,781.073917587946,10.0,10.0,26.359613837666075,#1d1c21,#d68d9a,True
2231,Small,502.8876906746527,776.4893846603303,10.0,10.0,21.030709677377306,#1d1c21,#e87d46,True
2230,Small,492.0744985363087,771.7405640703114,10.0,10.0,29.75813314108406,#1d1c21,#d68d9a,True
2229,Small,482.0842248086283,765.9705911890075,10.0,10.0,38.5212163297047,#1d1c21,#d68d9a,True
2228,Small,473.55981393545426,757.5073160785682,10.0,10.0,51.926607719416026,#1d1c21,#d68d9a,True
2227,Small,466.537341892287,748.0287501033682,10.0,10.0,50.02407525853937,#1d1c21,#d68d9a,True
2226,Small,372.8397935675046,627.7199373058666,10.0,10.0,-48.0,#1d1c21,#d9505b,True
2225,Small,382.11424971149864,637.0432835429481,5.0,10.0,129.0,#1d1c21,#e87d46,True
2224,Small,335.1792734923573,600.1141475923373,10.0,10.0,-116.11793646959877,#1d1c21,#d9505b,True
2221,Small,347.8224696747723,619.6678711214678,10.0,10.0,-129.60119320930664,#1d1c21,#d9505b,True
2220,Small,354.96233069158905,628.505922382274,10.0,10.0,-130.09547640934528,#1d1c21,#d9505b,True
