Serial_Number,Type,X,Y,Width,Height,Rotation,Frame_Color,Fill_Color,Is_Filled
1343,Small,434.3052104862343,597.0478477580593,10.0,10.0,-34.0,#1d1c21,#d9505b,True
1342,Small,455.606952622074,584.9869701521949,5.0,10.0,31.0,#1d1c21,#d9505b,True
1339,Small,443.3154347621892,593.3413262680184,10.0,5.0,-22.422283474983423,#1d1c21,#d9505b,True
1338,Small,427.5969483698163,586.6003793738836,10.0,5.0,148.94416494589953,#1d1c21,#d68d9a,True
1337,Small,438.19216875128063,582.1364415281859,10.0,5.0,165.58364868246497,#1d1c21,#d68d9a,True
1336,Small,449.4238452020231,581.0270574451516,10.0,5.0,117.524178542286,#1d1c21,#d68d9a,True
1335,Small,377.5461290644544,536.5820923939992,5.0,10.0,13.0,#936eac,,False
1334,Small,413.705361479029,605.0187885301169,5.0,10.0,99.0,#936eac,#1d1c21,True
1332,Small,457.12016473299695,591.9180836906601,10.0,5.0,-57.56562058998644,#1d1c21,#1d1c21,True
1331,Small,447.3985578468232,598.1153366976312,10.0,5.0,-23.805943518457536,#1d1c21,#1d1c21,True
1330,Small,439.9157484462853,587.8041309294262,10.0,5.0,-14.499723154482567,#1d1c21,#1d1c21,True
1329,Small,429.4935839509601,592.0308338519079,10.0,5.0,-29.267995214892935,#1d1c21,#1d1c21,True
1325,Small,400.53084248264355,604.4231825217178,10.0,5.0,19.0,#1d1c21,#1d1c21,True
1324,Small,389.8253933931164,600.8883557695309,10.0,5.0,21.32946151527979,#1d1c21,#1d1c21,True
1323,Small,381.01074140376807,611.1297794452815,10.0,5.0,35.03031516359252,#1d1c21,#1d1c21,True
1322,Small,372.71968724904724,603.8365998413115,10.0,5.0,47.513810236177676,#1d1c21,#1d1c21,True
1321,Small,366.46787501224026,594.2126804630586,10.0,5.0,76.9874531907558,#1d1c21,#1d1c21,True
1320,Small,366.10944432682066,582.6981304897781,10.0,5.0,94.66685837143892,#1d1c21,#1d1c21,True
1319,Small,367.2215403337427,571.230887974104,10.0,5.0,98.61965527615502,#1d1c21,#1d1c21,True
1318,Small,369.87965306233446,560.4707428840696,10.0,5.0,105.9182488640676,#1d1c21,#1d1c21,True
